,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,46.08,216,-9958.256639999998,216,41.743,-4.977,9995.023
20150112,Hold,46.382,0,0.0,216,41.743,60.255,10060.255
20150113,Sell,45.177,-216,9753.352884,0,9795.096,-204.904,9795.096
20150114,Hold,45.703,0,0.0,0,9795.096,-204.904,9795.096
20150115,Hold,45.19,0,0.0,0,9795.096,-204.904,9795.096
20150116,Buy,45.925,213,-9786.9160125,213,8.18,-209.795,9790.205
20150120,Sell,44.847,-213,9547.6347945,0,9555.815,-444.185,9555.815
20150121,Buy,45.612,209,-9537.674454,209,18.141,-448.951,9551.049
20150122,Hold,46.769,0,0.0,209,18.141,-207.138,9792.862
20150123,Hold,46.75,0,0.0,209,18.141,-211.109,9788.891
20150126,Hold,46.472,0,0.0,209,18.141,-269.211,9730.789
20150127,Hold,46.835,0,0.0,209,18.141,-193.344,9806.656
20150128,Sell,46.178,-209,9646.376399,0,9664.517,-335.483,9664.517
20150129,Buy,46.648,207,-9660.964068,207,3.553,-340.311,9659.689
20150130,Sell,45.892,-207,9494.894178,0,9498.447,-501.553,9498.447
20150202,Hold,46.076,0,0.0,0,9498.447,-501.553,9498.447
20150203,Buy,46.432,204,-9476.864064,204,21.583,-506.289,9493.711
20150204,Hold,46.279,0,0.0,204,21.583,-537.501,9462.499
20150205,Hold,47.452,0,0.0,204,21.583,-298.209,9701.791
20150206,Hold,46.541,0,0.0,204,21.583,-484.053,9515.947
20150209,Sell,46.608,-204,9503.277984,0,9524.861,-475.139,9524.861
20150210,Buy,47.029,202,-9504.607929,202,20.253,-479.889,9520.111
20150211,Hold,46.882,0,0.0,202,20.253,-509.583,9490.417
20150212,Hold,47.282,0,0.0,202,20.253,-428.783,9571.217
20150213,Hold,47.185,0,0.0,202,20.253,-448.377,9551.623
20150217,Hold,48.118,0,0.0,202,20.253,-259.911,9740.089
20150218,Hold,48.512,0,0.0,202,20.253,-180.323,9819.677
20150219,Hold,48.582,0,0.0,202,20.253,-166.183,9833.817
20150220,Hold,49.269,0,0.0,202,20.253,-27.409,9972.591
20150223,Hold,49.048,0,0.0,202,20.253,-72.051,9927.949
20150224,Hold,49.326,0,0.0,202,20.253,-15.895,9984.105
20150225,Hold,49.967,0,0.0,202,20.253,113.587,10113.587
20150226,Hold,50.188,0,0.0,202,20.253,158.229,10158.229
20150227,Hold,51.317,0,0.0,202,20.253,386.287,10386.287
20150302,Hold,51.317,0,0.0,202,20.253,386.287,10386.287
20150303,Hold,50.988,0,0.0,202,20.253,319.829,10319.829
20150304,Sell,50.728,-202,10241.932472,0,10262.186,262.186,10262.186
20150305,Hold,50.582,0,0.0,0,10262.186,262.186,10262.186
20150306,Hold,50.214,0,0.0,0,10262.186,262.186,10262.186
20150309,Hold,49.935,0,0.0,0,10262.186,262.186,10262.186
20150310,Hold,49.099,0,0.0,0,10262.186,262.186,10262.186
20150311,Hold,48.825,0,0.0,0,10262.186,262.186,10262.186
20150312,Hold,49.321,0,0.0,0,10262.186,262.186,10262.186
20150313,Buy,49.454,207,-10242.096489,207,20.089,257.067,10257.067
20150316,Hold,49.468,0,0.0,207,20.089,259.965,10259.965
20150317,Hold,49.399,0,0.0,207,20.089,245.682,10245.682
20150318,Hold,49.923,0,0.0,207,20.089,354.15,10354.15
20150319,Hold,50.18,0,0.0,207,20.089,407.349,10407.349
20150320,Hold,50.206,0,0.0,207,20.089,412.731,10412.731
20150323,Hold,50.367,0,0.0,207,20.089,446.058,10446.058
20150324,Hold,51.002,0,0.0,207,20.089,577.503,10577.503
20150325,Sell,49.752,-207,10293.514668000002,0,10313.604,313.604,10313.604
20150326,Hold,49.8,0,0.0,0,10313.604,313.604,10313.604
20150327,Hold,49.96,0,0.0,0,10313.604,313.604,10313.604
20150330,Buy,50.18,205,-10292.04345,205,21.56,308.46,10308.46
20150331,Hold,49.827,0,0.0,205,21.56,236.095,10236.095
20150401,Hold,49.986,0,0.0,205,21.56,268.69,10268.69
20150402,Hold,50.341,0,0.0,205,21.56,341.465,10341.465
20150406,Hold,50.526,0,0.0,205,21.56,379.39,10379.39
20150407,Sell,50.013,-205,10247.538667499999,0,10269.099,269.099,10269.099
20150408,Buy,49.702,206,-10243.731305999998,206,25.368,263.98,10263.98
20150409,Hold,50.282,0,0.0,206,25.368,383.46,10383.46
20150410,Hold,50.792,0,0.0,206,25.368,488.52,10488.52
20150413,Hold,51.106,0,0.0,206,25.368,553.204,10553.204
