,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Buy,13.563,736,-9987.359183999999,736,12.641,-4.991,9995.009
20120111,Hold,13.201,0,0.0,736,12.641,-271.423,9728.577
20120112,Hold,13.067,0,0.0,736,12.641,-370.047,9629.953
20120113,Hold,13.721,0,0.0,736,12.641,111.297,10111.297
20120117,Hold,13.316,0,0.0,736,12.641,-186.783,9813.217
20120118,Hold,14.237,0,0.0,736,12.641,491.073,10491.073
20120119,Hold,14.657,0,0.0,736,12.641,800.193,10800.193
20120120,Hold,14.113,0,0.0,736,12.641,399.809,10399.809
20120123,Sell,13.157,-736,9678.710224,0,9691.351,-308.649,9691.351
20120124,Buy,13.266,730,-9689.02209,730,2.329,-313.491,9686.509
20120125,Hold,16.281,0,0.0,730,2.329,1887.459,11887.459
20120126,Hold,16.636,0,0.0,730,2.329,2146.609,12146.609
20120127,Hold,17.82,0,0.0,730,2.329,3010.929,13010.929
20120130,Hold,17.854,0,0.0,730,2.329,3035.749,13035.749
20120131,Hold,17.344,0,0.0,730,2.329,2663.449,12663.449
20120201,Hold,17.643,0,0.0,730,2.329,2881.719,12881.719
20120202,Hold,17.831,0,0.0,730,2.329,3018.959,13018.959
20120203,Hold,17.603,0,0.0,730,2.329,2852.519,12852.519
20120206,Hold,18.404,0,0.0,730,2.329,3437.249,13437.249
20120207,Hold,17.97,0,0.0,730,2.329,3120.429,13120.429
20120208,Sell,17.773,-730,12967.802855,0,12970.132,2970.132,12970.132
20120209,Hold,17.721,0,0.0,0,12970.132,2970.132,12970.132
20120210,Hold,17.83,0,0.0,0,12970.132,2970.132,12970.132
20120213,Hold,16.999,0,0.0,0,12970.132,2970.132,12970.132
20120214,Buy,17.661,734,-12969.655587,734,0.476,2963.65,12963.65
20120215,Sell,17.459,-734,12808.498547,0,12808.975,2808.975,12808.975
20120216,Hold,17.461,0,0.0,0,12808.975,2808.975,12808.975
20120217,Hold,17.684,0,0.0,0,12808.975,2808.975,12808.975
20120221,Hold,16.417,0,0.0,0,12808.975,2808.975,12808.975
20120222,Hold,15.936,0,0.0,0,12808.975,2808.975,12808.975
20120223,Hold,16.126,0,0.0,0,12808.975,2808.975,12808.975
20120224,Hold,15.45,0,0.0,0,12808.975,2808.975,12808.975
20120227,Hold,15.487,0,0.0,0,12808.975,2808.975,12808.975
20120228,Buy,16.163,792,-12807.496548,792,1.478,2802.574,12802.574
20120229,Sell,15.621,-792,12365.646084000002,0,12367.124,2367.124,12367.124
20120301,Buy,16.041,770,-12357.745785,770,9.379,2360.949,12360.949
20120302,Hold,16.394,0,0.0,770,9.379,2632.759,12632.759
20120305,Sell,15.614,-770,12016.768610000001,0,12026.147,2026.147,12026.147
20120306,Hold,15.887,0,0.0,0,12026.147,2026.147,12026.147
20120307,Hold,15.139,0,0.0,0,12026.147,2026.147,12026.147
20120308,Hold,15.287,0,0.0,0,12026.147,2026.147,12026.147
20120309,Buy,15.393,780,-12012.54327,780,13.604,2020.144,12020.144
20120312,Hold,15.411,0,0.0,780,13.604,2034.184,12034.184
20120313,Hold,15.114,0,0.0,780,13.604,1802.524,11802.524
20120314,Hold,15.05,0,0.0,780,13.604,1752.604,11752.604
